,timestamp,call_close,put_close
0,2023-01-23 14:30:00,0.05,
1,2023-01-23 14:31:00,0.05,
2,2023-01-23 14:32:00,0.05,
3,2023-01-23 14:33:00,,0.27
4,2023-01-23 14:34:00,0.05,
5,2023-01-23 14:35:00,0.03,
6,2023-01-23 14:36:00,0.05,
7,2023-01-23 14:37:00,,0.25
8,2023-01-23 14:38:00,,0.25
9,2023-01-23 14:39:00,0.03,
10,2023-01-23 14:40:00,,0.22
11,2023-01-23 14:41:00,,0.25
12,2023-01-23 14:42:00,0.05,
13,2023-01-23 14:43:00,,0.15
14,2023-01-23 14:44:00,,0.2
15,2023-01-23 14:45:00,0.05,
16,2023-01-23 14:46:00,,0.15
17,2023-01-23 14:47:00,,0.12
18,2023-01-23 14:48:00,0.05,
19,2023-01-23 14:49:00,,0.15
20,2023-01-23 14:50:00,,0.1
21,2023-01-23 14:51:00,,0.1
22,2023-01-23 14:52:00,,0.12
23,2023-01-23 14:53:00,,0.15
24,2023-01-23 14:54:00,,0.1
25,2023-01-23 14:55:00,,0.12
26,2023-01-23 14:56:00,,0.1
27,2023-01-23 14:57:00,,0.12
28,2023-01-23 14:58:00,0.05,
29,2023-01-23 14:59:00,,0.12
30,2023-01-23 15:00:00,0.05,
31,2023-01-23 15:01:00,,0.05
32,2023-01-23 15:02:00,,0.1
33,2023-01-23 15:03:00,,0.1
34,2023-01-23 15:04:00,,0.07
35,2023-01-23 15:05:00,,0.15
36,2023-01-23 15:06:00,,0.1
37,2023-01-23 15:07:00,,0.15
38,2023-01-23 15:08:00,,0.12
39,2023-01-23 15:09:00,0.05,
40,2023-01-23 15:10:00,0.05,
41,2023-01-23 15:11:00,,0.12
42,2023-01-23 15:12:00,,0.05
43,2023-01-23 15:13:00,,0.07
44,2023-01-23 15:14:00,,0.1
45,2023-01-23 15:15:00,,0.1
46,2023-01-23 15:16:00,,0.1
47,2023-01-23 15:17:00,,0.07
48,2023-01-23 15:18:00,,0.1
49,2023-01-23 15:19:00,,0.1
50,2023-01-23 15:20:00,,0.07
51,2023-01-23 15:21:00,0.05,
52,2023-01-23 15:22:00,0.05,
53,2023-01-23 15:23:00,,0.07
54,2023-01-23 15:24:00,,0.07
55,2023-01-23 15:25:00,0.05,
56,2023-01-23 15:26:00,,0.05
57,2023-01-23 15:27:00,,0.1
58,2023-01-23 15:28:00,,0.1
59,2023-01-23 15:29:00,,0.1
60,2023-01-23 15:30:00,0.05,
61,2023-01-23 15:31:00,0.05,
62,2023-01-23 15:32:00,,0.07
63,2023-01-23 15:33:00,,0.1
64,2023-01-23 15:34:00,,0.07
65,2023-01-23 15:35:00,,0.1
66,2023-01-23 15:36:00,,0.07
67,2023-01-23 15:37:00,,0.05
68,2023-01-23 15:38:00,,0.07
69,2023-01-23 15:40:00,,0.1
70,2023-01-23 15:41:00,,0.1
71,2023-01-23 15:42:00,,0.1
72,2023-01-23 15:43:00,,0.09
73,2023-01-23 15:44:00,,0.1
74,2023-01-23 15:45:00,,0.1
75,2023-01-23 15:47:00,0.05,
76,2023-01-23 15:48:00,,0.07
77,2023-01-23 15:49:00,0.05,
78,2023-01-23 15:50:00,,0.1
79,2023-01-23 15:52:00,,0.1
80,2023-01-23 15:54:00,0.05,
81,2023-01-23 15:55:00,0.05,
82,2023-01-23 15:56:00,,0.1
83,2023-01-23 15:57:00,,0.07
84,2023-01-23 15:58:00,0.05,
85,2023-01-23 15:59:00,,0.1
86,2023-01-23 16:00:00,,0.07
87,2023-01-23 16:01:00,0.05,
88,2023-01-23 16:02:00,0.05,
89,2023-01-23 16:03:00,0.05,
90,2023-01-23 16:04:00,0.05,
91,2023-01-23 16:05:00,0.05,
92,2023-01-23 16:06:00,0.05,
93,2023-01-23 16:07:00,0.05,
94,2023-01-23 16:08:00,0.05,
95,2023-01-23 16:09:00,0.05,
96,2023-01-23 16:10:00,0.05,
97,2023-01-23 16:11:00,0.05,
98,2023-01-23 16:12:00,0.05,
99,2023-01-23 16:13:00,0.05,
100,2023-01-23 16:14:00,0.05,
101,2023-01-23 16:15:00,0.05,
102,2023-01-23 16:16:00,0.05,
103,2023-01-23 16:17:00,0.05,
104,2023-01-23 16:18:00,0.05,
105,2023-01-23 16:19:00,0.07,
106,2023-01-23 16:20:00,0.05,
107,2023-01-23 16:21:00,0.1,
108,2023-01-23 16:22:00,0.07,
109,2023-01-23 16:25:00,0.05,
110,2023-01-23 16:26:00,0.05,
111,2023-01-23 16:27:00,0.1,
112,2023-01-23 16:28:00,0.05,
113,2023-01-23 16:29:00,0.05,
114,2023-01-23 16:30:00,0.05,
115,2023-01-23 16:31:00,0.07,
116,2023-01-23 16:32:00,0.05,
117,2023-01-23 16:33:00,0.05,
118,2023-01-23 16:34:00,,0.1
119,2023-01-23 16:35:00,0.05,
120,2023-01-23 16:36:00,0.05,
121,2023-01-23 16:37:00,0.05,
122,2023-01-23 16:38:00,0.05,
123,2023-01-23 16:40:00,0.05,
124,2023-01-23 16:41:00,0.05,
125,2023-01-23 16:42:00,0.07,
126,2023-01-23 16:43:00,0.05,
127,2023-01-23 16:44:00,0.05,
128,2023-01-23 16:45:00,0.07,
129,2023-01-23 16:47:00,0.07,
130,2023-01-23 16:48:00,0.05,
131,2023-01-23 16:49:00,0.05,
132,2023-01-23 16:50:00,0.05,
133,2023-01-23 16:51:00,0.05,
134,2023-01-23 16:52:00,0.05,
135,2023-01-23 16:53:00,0.05,
136,2023-01-23 16:54:00,0.05,
137,2023-01-23 16:55:00,0.05,
138,2023-01-23 16:56:00,0.05,
139,2023-01-23 16:57:00,0.05,
140,2023-01-23 16:58:00,0.05,
141,2023-01-23 16:59:00,0.07,
142,2023-01-23 17:00:00,0.05,
143,2023-01-23 17:01:00,0.05,
144,2023-01-23 17:02:00,0.05,
145,2023-01-23 17:03:00,0.05,
146,2023-01-23 17:04:00,0.05,
147,2023-01-23 17:05:00,0.07,
148,2023-01-23 17:07:00,,0.05
149,2023-01-23 17:08:00,0.05,
150,2023-01-23 17:09:00,0.05,
151,2023-01-23 17:10:00,0.05,
152,2023-01-23 17:11:00,0.05,
153,2023-01-23 17:12:00,0.05,
154,2023-01-23 17:13:00,0.05,
155,2023-01-23 17:14:00,0.05,
156,2023-01-23 17:15:00,0.05,
157,2023-01-23 17:16:00,0.05,
158,2023-01-23 17:17:00,0.05,
159,2023-01-23 17:18:00,0.05,
160,2023-01-23 17:19:00,0.05,
161,2023-01-23 17:22:00,,0.07
162,2023-01-23 17:24:00,0.05,
163,2023-01-23 17:25:00,,0.07
164,2023-01-23 17:27:00,0.05,
165,2023-01-23 17:28:00,0.05,
166,2023-01-23 17:30:00,,0.05
167,2023-01-23 17:31:00,0.05,
168,2023-01-23 17:32:00,0.05,
169,2023-01-23 17:33:00,0.05,
170,2023-01-23 17:34:00,0.05,
171,2023-01-23 17:35:00,0.05,
172,2023-01-23 17:37:00,0.05,
173,2023-01-23 17:39:00,0.05,
174,2023-01-23 17:40:00,0.05,
175,2023-01-23 17:41:00,0.05,
176,2023-01-23 17:42:00,0.05,
177,2023-01-23 17:43:00,0.05,
178,2023-01-23 17:44:00,0.05,
179,2023-01-23 17:45:00,0.05,
180,2023-01-23 17:46:00,0.05,
181,2023-01-23 17:48:00,0.05,
182,2023-01-23 17:51:00,0.05,
183,2023-01-23 17:52:00,0.05,
184,2023-01-23 17:53:00,,0.1
185,2023-01-23 17:55:00,,0.05
186,2023-01-23 17:57:00,,0.05
187,2023-01-23 17:58:00,,0.05
188,2023-01-23 17:59:00,0.05,
189,2023-01-23 18:00:00,0.05,
190,2023-01-23 18:01:00,0.05,
191,2023-01-23 18:02:00,0.05,
192,2023-01-23 18:03:00,0.05,
193,2023-01-23 18:04:00,,0.05
194,2023-01-23 18:05:00,,0.05
195,2023-01-23 18:06:00,,0.05
196,2023-01-23 18:07:00,,0.05
197,2023-01-23 18:08:00,0.05,
198,2023-01-23 18:09:00,0.05,
199,2023-01-23 18:10:00,0.05,
200,2023-01-23 18:13:00,,0.05
201,2023-01-23 18:14:00,0.05,
202,2023-01-23 18:15:00,0.05,
203,2023-01-23 18:16:00,,0.05
204,2023-01-23 18:17:00,,0.05
205,2023-01-23 18:18:00,0.05,
206,2023-01-23 18:19:00,0.05,
207,2023-01-23 18:20:00,0.05,
208,2023-01-23 18:21:00,0.05,
209,2023-01-23 18:22:00,0.05,
210,2023-01-23 18:24:00,0.05,
211,2023-01-23 18:25:00,,0.05
212,2023-01-23 18:26:00,,0.05
213,2023-01-23 18:27:00,,0.05
214,2023-01-23 18:28:00,,0.07
215,2023-01-23 18:29:00,,0.05
216,2023-01-23 18:30:00,0.05,
217,2023-01-23 18:31:00,,0.05
218,2023-01-23 18:32:00,0.05,
219,2023-01-23 18:34:00,0.05,
220,2023-01-23 18:35:00,0.05,
221,2023-01-23 18:36:00,,0.05
222,2023-01-23 18:37:00,,0.05
223,2023-01-23 18:38:00,,0.05
224,2023-01-23 18:39:00,,0.05
225,2023-01-23 18:40:00,0.05,
226,2023-01-23 18:41:00,0.05,
227,2023-01-23 18:42:00,,0.1
228,2023-01-23 18:43:00,,0.05
229,2023-01-23 18:44:00,,0.07
230,2023-01-23 18:46:00,0.05,
231,2023-01-23 18:47:00,0.05,
232,2023-01-23 18:48:00,,0.05
233,2023-01-23 18:50:00,,0.05
234,2023-01-23 18:51:00,0.05,
235,2023-01-23 18:58:00,,0.05
236,2023-01-23 18:59:00,0.05,
237,2023-01-23 19:00:00,0.05,
238,2023-01-23 19:01:00,0.05,
239,2023-01-23 19:02:00,0.05,
240,2023-01-23 19:03:00,0.05,
241,2023-01-23 19:06:00,0.05,
242,2023-01-23 19:07:00,,0.05
243,2023-01-23 19:10:00,,0.05
244,2023-01-23 19:11:00,,0.05
245,2023-01-23 19:13:00,,0.05
246,2023-01-23 19:17:00,0.05,
247,2023-01-23 19:18:00,,0.05
248,2023-01-23 19:25:00,0.05,
249,2023-01-23 19:27:00,0.05,
250,2023-01-23 19:28:00,0.05,
251,2023-01-23 19:30:00,0.05,
252,2023-01-23 19:31:00,0.05,
253,2023-01-23 19:32:00,0.05,
254,2023-01-23 19:35:00,0.05,
255,2023-01-23 19:37:00,0.05,
256,2023-01-23 19:42:00,,0.05
257,2023-01-23 19:46:00,0.05,
258,2023-01-23 19:47:00,,0.05
259,2023-01-23 19:48:00,,0.05
260,2023-01-23 19:49:00,,0.05
261,2023-01-23 19:51:00,,0.05
262,2023-01-23 19:52:00,0.05,
263,2023-01-23 19:54:00,,0.05
264,2023-01-23 19:55:00,0.05,
265,2023-01-23 20:00:00,,0.05
266,2023-01-23 20:25:00,,0.05
267,2023-01-23 20:29:00,,0.05
268,2023-01-23 20:38:00,,0.05
269,2023-01-23 20:40:00,0.05,
270,2023-01-23 20:53:00,0.05,
271,2023-01-24 14:30:00,0.05,
272,2023-01-24 14:31:00,0.05,
273,2023-01-24 14:32:00,0.1,
274,2023-01-24 14:33:00,0.1,
275,2023-01-24 14:34:00,0.07,
276,2023-01-24 14:35:00,0.05,
277,2023-01-24 14:36:00,0.05,
278,2023-01-24 14:37:00,0.05,
279,2023-01-24 14:38:00,0.05,
280,2023-01-24 14:39:00,0.05,
281,2023-01-24 14:40:00,0.07,
282,2023-01-24 14:41:00,0.05,
283,2023-01-24 14:42:00,0.05,
284,2023-01-24 14:43:00,0.05,
285,2023-01-24 14:44:00,0.07,
286,2023-01-24 14:45:00,0.05,
287,2023-01-24 14:46:00,0.07,
288,2023-01-24 14:47:00,0.07,
289,2023-01-24 14:48:00,0.07,
290,2023-01-24 14:49:00,0.07,
291,2023-01-24 14:50:00,0.05,
292,2023-01-24 14:51:00,0.07,
293,2023-01-24 14:52:00,0.1,
294,2023-01-24 14:53:00,0.1,
295,2023-01-24 14:54:00,0.07,
296,2023-01-24 14:55:00,0.07,
297,2023-01-24 14:56:00,0.05,
298,2023-01-24 14:57:00,0.05,
299,2023-01-24 14:58:00,0.05,
300,2023-01-24 14:59:00,,0.15
301,2023-01-24 15:00:00,0.05,
302,2023-01-24 15:01:00,0.05,
303,2023-01-24 15:02:00,0.05,
304,2023-01-24 15:03:00,0.07,
305,2023-01-24 15:04:00,,0.12
306,2023-01-24 15:05:00,0.07,
307,2023-01-24 15:06:00,0.05,
308,2023-01-24 15:07:00,,0.15
309,2023-01-24 15:08:00,0.05,
310,2023-01-24 15:09:00,0.05,
311,2023-01-24 15:10:00,0.05,
312,2023-01-24 15:11:00,0.05,
313,2023-01-24 15:12:00,0.05,
314,2023-01-24 15:13:00,0.05,
315,2023-01-24 15:14:00,0.05,
316,2023-01-24 15:15:00,0.05,
317,2023-01-24 15:16:00,0.05,
318,2023-01-24 15:18:00,,0.07
319,2023-01-24 15:19:00,,0.07
320,2023-01-24 15:20:00,0.05,
321,2023-01-24 15:21:00,,0.07
322,2023-01-24 15:24:00,0.05,
323,2023-01-24 15:25:00,,0.07
324,2023-01-24 15:26:00,,0.07
325,2023-01-24 15:28:00,0.05,
326,2023-01-24 15:29:00,,0.07
327,2023-01-24 15:30:00,,0.05
328,2023-01-24 15:31:00,,0.05
329,2023-01-24 15:32:00,,0.05
330,2023-01-24 15:33:00,0.05,
331,2023-01-24 15:34:00,,0.05
332,2023-01-24 15:35:00,0.05,
333,2023-01-24 15:37:00,0.05,
334,2023-01-24 15:38:00,0.05,
335,2023-01-24 15:39:00,,0.09
336,2023-01-24 15:40:00,,0.07
337,2023-01-24 15:41:00,0.05,
338,2023-01-24 15:42:00,,0.07
339,2023-01-24 15:43:00,0.05,
340,2023-01-24 15:45:00,,0.05
341,2023-01-24 15:46:00,,0.05
342,2023-01-24 15:47:00,0.05,
343,2023-01-24 15:48:00,0.05,
344,2023-01-24 15:49:00,0.05,
345,2023-01-24 15:50:00,0.05,
346,2023-01-24 15:51:00,0.05,
347,2023-01-24 15:52:00,,0.05
348,2023-01-24 15:54:00,,0.07
349,2023-01-24 15:55:00,0.05,
350,2023-01-24 15:56:00,0.05,
351,2023-01-24 15:57:00,0.05,
352,2023-01-24 16:00:00,0.05,
353,2023-01-24 16:01:00,0.05,
354,2023-01-24 16:02:00,0.05,
355,2023-01-24 16:03:00,0.05,
356,2023-01-24 16:04:00,0.05,
357,2023-01-24 16:05:00,0.05,
358,2023-01-24 16:06:00,0.05,
